window_number,model_name,trial_number,trial_value,best_so_far
4,lightgbm,15,0.5333116846600027,0.5374415297908856
4,lightgbm,16,0.5315681184299551,0.5374415297908856
4,lightgbm,17,0.5202817035669559,0.5374415297908856
4,lightgbm,18,0.5103256519804266,0.5374415297908856
4,lightgbm,19,0.5039203145567517,0.5374415297908856
4,lightgbm,20,0.5366103428721413,0.5374415297908856
4,lightgbm,21,0.5350107608706592,0.5374415297908856
4,random_forest,0,0.23104615549943583,0.23104615549943583
4,random_forest,1,0.43741016126371407,0.43741016126371407
4,random_forest,2,0.31287052532485116,0.43741016126371407
4,random_forest,3,0.4251976007050626,0.43741016126371407
4,random_forest,4,0.47970607749833577,0.47970607749833577
4,random_forest,5,0.3495046243801259,0.47970607749833577
4,random_forest,6,0.3461428009940392,0.47970607749833577
4,random_forest,7,0.3873636058226719,0.47970607749833577
4,random_forest,8,0.23104615549943583,0.47970607749833577
4,random_forest,9,0.4270517189896517,0.47970607749833577
4,random_forest,10,0.36545260029374277,0.47970607749833577
4,random_forest,11,0.3692510429579099,0.47970607749833577
4,random_forest,12,0.4792419658650098,0.47970607749833577
4,random_forest,13,0.4852169917496388,0.4852169917496388
4,random_forest,14,0.4910423897974899,0.4910423897974899
4,random_forest,15,0.4935608320404184,0.4935608320404184
4,random_forest,16,0.49256497007823846,0.4935608320404184
4,random_forest,17,0.41623121373132893,0.4935608320404184
4,random_forest,18,0.49375448523899035,0.49375448523899035
4,random_forest,19,0.4874311129846418,0.49375448523899035
4,random_forest,20,0.4717136489440603,0.49375448523899035
4,random_forest,21,0.4919610707870176,0.49375448523899035
4,random_forest,22,0.4871912186645599,0.49375448523899035
4,random_forest,23,0.4902802111011635,0.49375448523899035
4,random_forest,24,0.4904841471394359,0.49375448523899035
4,extra_trees,0,0.23104615549943583,0.23104615549943583
4,extra_trees,1,0.3468301104610198,0.3468301104610198
4,extra_trees,2,0.27349974594486626,0.3468301104610198
4,extra_trees,3,0.36960690069508706,0.36960690069508706
4,extra_trees,4,0.4170524091339837,0.4170524091339837
4,extra_trees,5,0.2920775249203127,0.4170524091339837
4,extra_trees,6,0.2824284266387712,0.4170524091339837
4,extra_trees,7,0.30575744902993596,0.4170524091339837
4,extra_trees,8,0.25395112309984397,0.4170524091339837
4,extra_trees,9,0.3842017122722084,0.4170524091339837
4,extra_trees,10,0.266056170060023,0.4170524091339837
4,extra_trees,11,0.3800296690912921,0.4170524091339837
4,extra_trees,12,0.4309689563851613,0.4309689563851613
4,extra_trees,13,0.4090745614332721,0.4309689563851613
4,extra_trees,14,0.45309934372630933,0.45309934372630933
4,extra_trees,15,0.43715289403387153,0.45309934372630933
4,extra_trees,16,0.4386281991621095,0.45309934372630933
4,extra_trees,17,0.3070690937587199,0.45309934372630933
4,extra_trees,18,0.4520116214495687,0.45309934372630933
4,extra_trees,19,0.4488903363402023,0.45309934372630933
4,extra_trees,20,0.45228199176960665,0.45309934372630933
4,extra_trees,21,0.4515810838144842,0.45309934372630933
4,extra_trees,22,0.4515292887650521,0.45309934372630933
4,extra_trees,23,0.457886362654226,0.457886362654226
4,extra_trees,24,0.453018357299392,0.457886362654226
5,xgboost,0,0.502439157829374,0.502439157829374
5,xgboost,1,0.49019068514704567,0.502439157829374
5,xgboost,2,0.530575745184881,0.530575745184881
5,xgboost,3,0.2382528355224601,0.530575745184881
5,xgboost,4,0.49801369882820246,0.530575745184881
5,xgboost,5,0.5083538447059883,0.530575745184881
5,xgboost,6,0.2382528355224601,0.530575745184881
5,xgboost,7,0.5000780123398132,0.530575745184881
5,xgboost,8,0.46337801339231594,0.530575745184881
5,xgboost,9,0.2382528355224601,0.530575745184881
5,xgboost,10,0.4512392658176803,0.530575745184881
5,xgboost,11,0.4931402899620095,0.530575745184881
5,xgboost,12,0.25092939435791095,0.530575745184881
5,xgboost,13,0.4787678243758338,0.530575745184881
5,xgboost,14,0.52641980721161,0.530575745184881
5,lightgbm,0,0.5089073107464165,0.5089073107464165
5,lightgbm,1,0.2382528355224601,0.5089073107464165
5,lightgbm,2,0.49751616316409075,0.5089073107464165
5,lightgbm,3,0.28057011383825964,0.5089073107464165
5,lightgbm,4,0.49072121790415163,0.5089073107464165
5,lightgbm,5,0.2382528355224601,0.5089073107464165
5,lightgbm,6,0.4999314261651953,0.5089073107464165
5,lightgbm,7,0.2382528355224601,0.5089073107464165
5,lightgbm,8,0.2382528355224601,0.5089073107464165
5,lightgbm,9,0.5114691892827966,0.5114691892827966
5,lightgbm,10,0.5243720822593878,0.5243720822593878
5,lightgbm,11,0.5304113705694441,0.5304113705694441
5,lightgbm,12,0.5155811151946498,0.5304113705694441
5,lightgbm,13,0.5228487858876085,0.5304113705694441
5,lightgbm,14,0.523631068066433,0.5304113705694441
5,lightgbm,15,0.49062968797386525,0.5304113705694441
5,lightgbm,16,0.5072599598226697,0.5304113705694441
5,lightgbm,17,0.5200709999605153,0.5304113705694441
5,lightgbm,18,0.5150006349767957,0.5304113705694441
5,lightgbm,19,0.5291429611305026,0.5304113705694441
5,lightgbm,20,0.5093273321152306,0.5304113705694441
5,lightgbm,21,0.5260457814547596,0.5304113705694441
5,random_forest,0,0.2382528355224601,0.2382528355224601
5,random_forest,1,0.4514289819181005,0.4514289819181005
5,random_forest,2,0.34238591277630476,0.4514289819181005
