window_number,model_name,trial_number,trial_value,trial_state,optimization_metric
1,extra_trees,18,0.4067372944890532,COMPLETE,f1
1,extra_trees,19,0.39370500354003096,COMPLETE,f1
1,extra_trees,20,0.40180991822845646,COMPLETE,f1
1,extra_trees,21,0.39990460216302576,COMPLETE,f1
1,extra_trees,22,0.4074506935108219,COMPLETE,f1
1,extra_trees,23,0.4105710642255493,COMPLETE,f1
1,extra_trees,24,0.40887260670628595,COMPLETE,f1
2,xgboost,0,0.44528423065172845,COMPLETE,f1
2,xgboost,1,0.4966936128715935,COMPLETE,f1
2,xgboost,2,0.4453899552386298,COMPLETE,f1
2,xgboost,3,0.27578953977522447,COMPLETE,f1
2,xgboost,4,0.40940004549274045,COMPLETE,f1
2,xgboost,5,0.42916068416650416,COMPLETE,f1
2,xgboost,6,0.27578953977522447,COMPLETE,f1
2,xgboost,7,0.41738578329076964,COMPLETE,f1
2,xgboost,8,0.3881741047748785,COMPLETE,f1
2,xgboost,9,0.27578953977522447,COMPLETE,f1
2,xgboost,10,0.49282159025475786,COMPLETE,f1
2,xgboost,11,0.4868579758771228,COMPLETE,f1
2,xgboost,12,0.4926199051644846,COMPLETE,f1
2,xgboost,13,0.49911498052259873,COMPLETE,f1
2,xgboost,14,0.4790717008629673,COMPLETE,f1
2,xgboost,15,0.3991765328886074,COMPLETE,f1
2,xgboost,16,0.4833327472029853,COMPLETE,f1
2,xgboost,17,0.4724399711754426,COMPLETE,f1
2,xgboost,18,0.35609323457142716,COMPLETE,f1
2,xgboost,19,0.49375725285011235,COMPLETE,f1
2,xgboost,20,0.46065284806796236,COMPLETE,f1
2,xgboost,21,0.49775968257734865,COMPLETE,f1
2,xgboost,22,0.49846017833215317,COMPLETE,f1
2,xgboost,23,0.4832684382940678,COMPLETE,f1
2,lightgbm,0,0.45936870584096984,COMPLETE,f1
2,lightgbm,1,0.27578953977522447,COMPLETE,f1
2,lightgbm,2,0.3961472647447706,COMPLETE,f1
2,lightgbm,3,0.284351355971556,COMPLETE,f1
2,lightgbm,4,0.4776564574036719,COMPLETE,f1
2,lightgbm,5,0.27578953977522447,COMPLETE,f1
2,lightgbm,6,0.47881279015081485,COMPLETE,f1
2,lightgbm,7,0.27578953977522447,COMPLETE,f1
2,lightgbm,8,0.27578953977522447,COMPLETE,f1
2,lightgbm,9,0.44322882862861984,COMPLETE,f1
2,lightgbm,10,0.4142506891855491,COMPLETE,f1
2,lightgbm,11,0.47580897696870644,COMPLETE,f1
2,lightgbm,12,0.4716437612941054,COMPLETE,f1
2,lightgbm,13,0.4770409298839307,COMPLETE,f1
2,lightgbm,14,0.47541551703889745,COMPLETE,f1
2,lightgbm,15,0.4679890437100698,COMPLETE,f1
2,lightgbm,16,0.4651431632045802,COMPLETE,f1
